krediMiktari;yas;evDurumu;aldigi_kredi_sayi;telefonDurumu;KrediDurumu
5965;30;evsahibi;2;var;krediver
1262;25;evsahibi;1;yok;krediver
3378;31;evsahibi;1;var;krediver
2225;57;kiraci;2;var;verme
783;26;evsahibi;1;yok;krediver
6468;52;evsahibi;1;var;verme
9566;31;evsahibi;2;yok;krediver
1961;23;evsahibi;1;yok;krediver
6229;23;kiraci;2;var;verme
1391;27;evsahibi;1;var;krediver
1537;50;evsahibi;2;var;krediver
1953;61;kiraci;1;var;verme
14421;25;evsahibi;1;var;verme
3181;26;evsahibi;1;var;krediver
5190;48;evsahibi;4;var;krediver
2171;29;evsahibi;1;yok;krediver
1007;22;evsahibi;1;yok;krediver
1819;37;kiraci;1;var;verme
2394;25;evsahibi;1;yok;krediver
8133;30;evsahibi;1;yok;krediver
730;46;kiraci;2;var;krediver
1164;51;kiraci;2;var;krediver
5954;41;evsahibi;2;yok;krediver
1977;40;evsahibi;1;var;verme
1526;66;kiraci;2;yok;krediver
3965;34;evsahibi;1;yok;verme
4771;51;evsahibi;1;yok;krediver
9436;39;evsahibi;1;yok;krediver
3832;22;evsahibi;1;yok;krediver
5943;44;evsahibi;2;var;verme
1213;47;evsahibi;1;var;krediver
1568;24;kiraci;1;yok;krediver
1755;58;evsahibi;1;var;krediver
2315;52;evsahibi;1;yok;krediver
1412;29;evsahibi;2;var;krediver
1295;27;evsahibi;2;yok;krediver
12612;47;kiraci;1;var;verme
2249;30;evsahibi;1;var;krediver
1108;28;evsahibi;2;yok;verme
618;56;evsahibi;1;yok;krediver
1409;54;evsahibi;1;yok;krediver
797;33;evsahibi;1;yok;verme
3617;20;kiraci;2;yok;krediver
1318;54;evsahibi;1;var;krediver
15945;58;kiraci;1;var;verme
2012;61;evsahibi;1;yok;krediver
2622;34;evsahibi;1;yok;krediver
2337;36;evsahibi;1;yok;krediver
7057;36;kiraci;2;var;krediver
1469;41;kiraci;1;yok;krediver
2323;24;kiraci;1;yok;krediver
932;24;evsahibi;1;yok;krediver
1919;35;kiraci;1;var;krediver
2445;26;kiraci;1;var;krediver
11938;39;evsahibi;2;var;verme
6458;39;evsahibi;2;var;verme
6078;32;evsahibi;1;yok;krediver
7721;30;evsahibi;1;var;krediver
1410;35;evsahibi;1;var;krediver
1449;31;evsahibi;2;yok;krediver
392;23;kiraci;1;var;krediver
6260;28;kiraci;1;yok;krediver
7855;25;evsahibi;2;var;verme
1680;35;evsahibi;1;yok;krediver
3578;47;evsahibi;1;var;krediver
7174;30;evsahibi;1;var;verme
2132;27;kiraci;2;yok;krediver
4281;23;evsahibi;2;yok;verme
2366;36;evsahibi;1;var;krediver
1835;25;evsahibi;2;var;verme
3868;41;kiraci;2;var;krediver
1768;24;kiraci;1;yok;krediver
781;63;kiraci;2;var;krediver
1924;27;kiraci;1;yok;verme
2121;30;evsahibi;2;yok;krediver
701;40;evsahibi;1;yok;krediver
639;30;evsahibi;1;yok;verme
1860;34;evsahibi;2;var;krediver
3499;29;evsahibi;2;yok;verme
8487;24;evsahibi;1;yok;krediver
6887;29;evsahibi;1;var;verme
2708;27;evsahibi;2;yok;krediver
1984;47;kiraci;2;yok;krediver
10144;21;evsahibi;1;var;krediver
1240;38;evsahibi;2;var;krediver
8613;27;evsahibi;2;yok;krediver
766;66;evsahibi;1;yok;verme
2728;35;evsahibi;3;var;krediver
1881;44;kiraci;1;var;krediver
709;27;evsahibi;1;yok;krediver
4795;30;evsahibi;1;var;krediver
3416;27;evsahibi;1;yok;krediver
2462;22;evsahibi;1;yok;verme
2288;23;evsahibi;1;var;krediver
3566;30;evsahibi;1;yok;krediver
860;39;evsahibi;2;var;krediver
682;51;evsahibi;2;var;krediver
5371;28;evsahibi;2;yok;krediver
1582;46;evsahibi;2;yok;krediver
1346;42;kiraci;1;var;krediver
1924;38;evsahibi;1;var;krediver
5848;24;evsahibi;1;yok;krediver
7758;29;kiraci;1;yok;krediver
6967;36;kiraci;1;var;krediver
1282;20;kiraci;1;yok;verme
1288;48;evsahibi;2;yok;krediver
339;45;evsahibi;1;yok;krediver
3512;38;evsahibi;2;var;krediver
1898;34;evsahibi;2;yok;krediver
2872;36;evsahibi;1;var;krediver
1055;30;evsahibi;2;yok;krediver
1262;36;evsahibi;2;var;krediver
7308;70;kiraci;1;var;krediver
909;36;evsahibi;1;yok;krediver
2978;32;evsahibi;1;var;krediver
1131;33;evsahibi;1;yok;verme
1577;20;evsahibi;1;yok;krediver
3972;25;kiraci;1;var;krediver
1935;31;evsahibi;2;var;verme
950;33;kiraci;2;yok;verme
763;26;evsahibi;1;var;krediver
2064;34;evsahibi;1;var;verme
1414;33;evsahibi;1;yok;krediver
3414;26;evsahibi;2;yok;verme
7485;53;evsahibi;1;var;verme
2577;42;evsahibi;1;yok;krediver
338;52;evsahibi;2;yok;krediver
1963;31;kiraci;2;var;krediver
571;65;evsahibi;2;yok;krediver
9572;28;evsahibi;2;yok;verme
4455;30;evsahibi;2;var;verme
1647;40;evsahibi;2;yok;verme
3777;50;evsahibi;1;var;krediver
884;36;evsahibi;1;var;verme
1360;31;evsahibi;2;yok;krediver
5129;74;kiraci;1;var;verme
1175;68;kiraci;3;var;krediver
674;20;evsahibi;1;yok;verme
3244;33;evsahibi;2;var;krediver
4591;54;evsahibi;3;var;verme
3844;34;kiraci;1;yok;verme
3915;36;evsahibi;1;var;verme
2108;29;kiraci;1;yok;krediver
3031;21;kiraci;1;yok;verme
1501;34;evsahibi;2;var;verme
1382;28;evsahibi;2;var;krediver
951;27;kiraci;4;yok;verme
2760;36;kiraci;1;var;krediver
4297;40;evsahibi;1;var;verme
936;52;evsahibi;2;var;krediver
1168;27;evsahibi;1;yok;krediver
5117;26;evsahibi;2;yok;krediver
902;21;kiraci;1;yok;verme
1495;38;evsahibi;2;yok;krediver
10623;38;kiraci;3;var;krediver
1935;43;evsahibi;3;var;krediver
1424;26;evsahibi;1;yok;krediver
6568;21;evsahibi;1;yok;krediver
1413;55;evsahibi;1;yok;krediver
3074;33;evsahibi;2;yok;krediver
3835;45;evsahibi;1;var;krediver
5293;50;evsahibi;2;var;verme
1908;66;evsahibi;1;var;verme
3342;51;evsahibi;1;var;krediver
932;39;evsahibi;2;yok;krediver
3104;31;evsahibi;1;var;krediver
3913;23;evsahibi;1;var;krediver
3021;24;kiraci;1;yok;krediver
1364;64;evsahibi;1;var;krediver
625;26;evsahibi;1;yok;krediver
1200;23;kiraci;1;var;krediver
707;30;evsahibi;2;yok;krediver
2978;32;evsahibi;2;var;krediver
4657;30;evsahibi;1;var;krediver
2613;27;evsahibi;2;yok;krediver
10961;27;evsahibi;2;var;verme
7865;53;kiraci;1;var;verme
1478;22;evsahibi;1;yok;verme
3149;22;kiraci;1;yok;krediver
4210;26;evsahibi;1;yok;verme
2507;51;kiraci;1;yok;krediver
2141;35;evsahibi;1;yok;krediver
866;25;evsahibi;1;yok;krediver
1544;42;evsahibi;3;yok;krediver
1823;30;evsahibi;1;yok;verme
14555;23;evsahibi;1;var;verme
2767;61;kiraci;2;yok;verme
1291;35;evsahibi;2;yok;krediver
2522;39;evsahibi;1;yok;krediver
915;29;evsahibi;1;yok;verme
1595;51;evsahibi;1;yok;krediver
4605;24;kiraci;2;yok;verme
1185;27;evsahibi;2;yok;krediver
3447;35;evsahibi;1;yok;krediver
1258;25;evsahibi;1;var;krediver
717;52;evsahibi;3;yok;krediver
1204;35;kiraci;1;yok;krediver
1925;26;evsahibi;1;yok;krediver
433;22;kiraci;1;yok;verme
666;39;evsahibi;2;var;krediver
2251;46;evsahibi;1;yok;krediver
2150;24;evsahibi;1;yok;verme
4151;35;evsahibi;2;yok;krediver
2030;24;evsahibi;1;var;krediver
7418;27;evsahibi;1;yok;krediver
2684;35;evsahibi;2;yok;krediver
2149;29;kiraci;1;yok;verme
3812;23;evsahibi;1;var;krediver
1154;57;evsahibi;3;yok;krediver
1657;27;evsahibi;1;yok;krediver
1603;55;evsahibi;1;yok;krediver
5302;36;kiraci;3;var;krediver
2748;57;kiraci;3;yok;krediver
1231;32;evsahibi;2;yok;krediver
802;37;evsahibi;1;yok;verme
6304;36;evsahibi;2;yok;krediver
1533;38;evsahibi;1;var;krediver
8978;45;evsahibi;1;var;verme
999;25;evsahibi;2;yok;krediver
2662;32;evsahibi;1;yok;krediver
1402;37;kiraci;1;var;krediver
12169;36;kiraci;1;var;krediver
3060;28;evsahibi;2;yok;verme
11998;34;evsahibi;1;var;verme
2697;32;evsahibi;1;yok;krediver
2404;26;evsahibi;2;yok;krediver
1262;49;evsahibi;1;var;krediver
4611;32;evsahibi;1;yok;verme
1901;29;kiraci;1;var;krediver
3368;23;kiraci;2;var;krediver
1574;50;evsahibi;1;yok;krediver
1445;49;evsahibi;1;yok;krediver
1520;63;evsahibi;1;yok;krediver
3878;37;evsahibi;1;var;krediver
10722;35;evsahibi;1;var;krediver
4788;26;evsahibi;1;yok;krediver
7582;31;kiraci;1;var;krediver
1092;49;evsahibi;2;var;krediver
1024;48;evsahibi;1;yok;verme
1076;26;evsahibi;1;var;krediver
9398;28;kiraci;1;var;verme
6419;44;kiraci;2;var;krediver
4796;56;kiraci;1;yok;krediver
7629;46;evsahibi;2;yok;krediver
9960;26;evsahibi;1;var;verme
4675;20;kiraci;1;yok;krediver
1287;45;evsahibi;1;yok;krediver
2515;43;evsahibi;1;var;krediver
2745;32;evsahibi;2;var;krediver
672;54;evsahibi;1;var;krediver
3804;42;evsahibi;1;var;verme
1344;37;evsahibi;2;yok;verme
1038;49;evsahibi;2;var;krediver
10127;44;kiraci;1;yok;verme
1543;33;evsahibi;1;yok;krediver
4811;24;kiraci;1;yok;krediver
727;33;evsahibi;1;var;verme
1237;24;evsahibi;1;yok;verme
276;22;kiraci;1;yok;krediver
5381;40;kiraci;1;var;krediver
5511;25;evsahibi;1;yok;krediver
3749;26;evsahibi;1;yok;krediver
685;25;evsahibi;1;yok;verme
1494;29;evsahibi;1;yok;krediver
2746;31;evsahibi;1;yok;verme
708;38;evsahibi;1;yok;krediver
4351;48;evsahibi;1;var;krediver
701;32;evsahibi;2;yok;krediver
3643;27;evsahibi;2;yok;krediver
4249;28;evsahibi;2;yok;verme
1938;32;evsahibi;1;yok;verme
2910;34;kiraci;1;var;krediver
2659;28;evsahibi;1;yok;krediver
1028;36;evsahibi;2;yok;krediver
3398;39;evsahibi;2;yok;krediver
5801;49;kiraci;1;var;krediver
1525;34;evsahibi;1;var;krediver
4473;31;evsahibi;1;yok;krediver
1068;28;evsahibi;1;yok;krediver
6615;75;kiraci;2;var;krediver
1864;30;evsahibi;2;yok;verme
7408;24;evsahibi;1;yok;verme
11590;24;kiraci;2;yok;verme
4110;23;kiraci;2;yok;verme
3384;44;kiraci;1;var;verme
2101;23;evsahibi;1;yok;krediver
1275;24;kiraci;1;yok;verme
4169;28;evsahibi;1;yok;krediver
1521;31;evsahibi;1;yok;krediver
5743;24;kiraci;2;var;krediver
3599;26;kiraci;1;yok;krediver
3213;25;kiraci;1;yok;krediver
4439;33;evsahibi;1;var;krediver
3949;37;evsahibi;1;yok;krediver
1459;43;evsahibi;1;yok;krediver
882;23;evsahibi;2;yok;krediver
3758;23;kiraci;1;yok;krediver
1743;34;evsahibi;2;yok;krediver
1136;32;kiraci;2;yok;verme
1236;23;kiraci;1;var;krediver
959;29;evsahibi;1;yok;verme
3229;38;evsahibi;1;var;krediver
6199;28;kiraci;2;var;verme
727;46;kiraci;1;var;krediver
1246;23;evsahibi;1;yok;verme
2331;49;evsahibi;1;var;krediver
4463;26;evsahibi;2;var;verme
776;28;evsahibi;1;yok;krediver
2406;23;kiraci;1;yok;verme
1239;61;kiraci;1;yok;krediver
3399;37;evsahibi;1;yok;krediver
2247;36;evsahibi;2;var;krediver
1766;21;kiraci;1;yok;krediver
2473;25;evsahibi;1;yok;verme
1542;36;evsahibi;1;var;krediver
3850;27;evsahibi;2;yok;krediver
3650;22;kiraci;1;yok;krediver
3446;42;evsahibi;1;yok;verme
3001;40;kiraci;1;yok;krediver
3079;36;evsahibi;1;yok;krediver
6070;33;evsahibi;2;var;krediver
2146;23;kiraci;2;yok;krediver
13756;63;kiraci;1;var;krediver
14782;60;kiraci;2;var;verme
7685;37;kiraci;1;yok;verme
2320;34;evsahibi;2;yok;krediver
846;36;kiraci;1;yok;krediver
14318;57;kiraci;1;var;verme
362;52;evsahibi;2;yok;krediver
2212;39;evsahibi;1;var;krediver
12976;38;kiraci;1;var;verme
1283;25;kiraci;1;yok;krediver
1330;26;evsahibi;1;yok;krediver
4272;26;evsahibi;2;yok;krediver
2238;25;evsahibi;2;yok;krediver
1126;21;kiraci;1;var;krediver
7374;40;evsahibi;2;var;krediver
2326;27;evsahibi;1;yok;krediver
1449;27;evsahibi;2;yok;krediver
1820;30;evsahibi;1;var;krediver
983;19;kiraci;1;yok;krediver
3249;39;kiraci;1;var;krediver
1957;31;evsahibi;1;yok;krediver
2406;31;evsahibi;1;yok;krediver
11760;32;kiraci;1;var;krediver
2578;55;kiraci;1;yok;krediver
2348;46;evsahibi;2;var;krediver
1223;46;kiraci;2;yok;verme
1516;43;evsahibi;2;yok;krediver
1473;39;evsahibi;1;var;krediver
1887;28;evsahibi;2;yok;krediver
8648;27;evsahibi;2;var;verme
802;27;evsahibi;2;yok;krediver
2899;43;evsahibi;1;yok;krediver
2039;22;evsahibi;1;var;verme
2197;43;evsahibi;2;var;krediver
1053;27;evsahibi;1;yok;krediver
3235;26;evsahibi;1;var;krediver
939;28;evsahibi;3;var;verme
1967;20;evsahibi;1;var;krediver
7253;35;evsahibi;2;var;krediver
2292;42;evsahibi;2;var;verme
1597;40;kiraci;1;yok;krediver
1381;35;evsahibi;1;yok;verme
5842;35;evsahibi;2;var;krediver
2579;33;evsahibi;1;yok;verme
8471;23;kiraci;2;var;krediver
2782;31;evsahibi;1;yok;krediver
1042;33;evsahibi;1;yok;verme
3186;20;kiraci;1;yok;krediver
2028;30;evsahibi;1;yok;krediver
958;47;evsahibi;2;yok;krediver
1591;34;evsahibi;2;yok;krediver
2762;25;evsahibi;1;var;verme
2779;21;kiraci;1;var;krediver
2743;29;evsahibi;2;yok;krediver
1149;46;evsahibi;2;yok;krediver
1313;20;evsahibi;1;yok;krediver
1190;55;kiraci;3;yok;verme
3448;74;evsahibi;1;yok;krediver
11328;29;evsahibi;2;var;verme
1872;36;kiraci;3;var;krediver
2058;33;evsahibi;2;var;krediver
2136;25;evsahibi;1;yok;krediver
1484;25;evsahibi;1;var;verme
660;23;kiraci;1;yok;krediver
1287;37;evsahibi;2;var;krediver
3394;65;evsahibi;2;yok;krediver
609;26;evsahibi;1;yok;verme
1884;39;evsahibi;1;var;krediver
1620;30;evsahibi;1;yok;krediver
2629;29;evsahibi;2;var;krediver
719;41;evsahibi;1;yok;verme
5096;30;evsahibi;1;var;verme
1244;41;kiraci;2;yok;krediver
1842;34;evsahibi;1;var;verme
2576;35;evsahibi;1;yok;krediver
1424;55;evsahibi;1;var;krediver
1512;61;evsahibi;2;yok;verme
11054;30;evsahibi;1;var;krediver
518;29;evsahibi;1;yok;krediver
2759;34;evsahibi;2;yok;krediver
2670;35;evsahibi;1;var;krediver
4817;31;evsahibi;1;var;verme
2679;29;evsahibi;1;var;krediver
3905;36;kiraci;2;yok;krediver
3386;35;kiraci;1;var;verme
343;27;evsahibi;1;yok;krediver
4594;32;evsahibi;1;var;krediver
3620;37;evsahibi;1;yok;krediver
1721;36;evsahibi;1;yok;krediver
3017;34;kiraci;1;yok;krediver
754;38;evsahibi;2;yok;krediver
1950;34;evsahibi;2;var;krediver
2924;63;evsahibi;1;var;krediver
1659;29;kiraci;1;var;verme
7238;32;evsahibi;2;yok;krediver
2764;26;evsahibi;2;var;krediver
4679;35;evsahibi;2;var;krediver
3092;22;kiraci;1;var;verme
448;23;evsahibi;1;yok;verme
654;28;evsahibi;1;yok;verme
1238;36;evsahibi;1;var;krediver
1245;33;evsahibi;1;yok;verme
3114;26;kiraci;1;yok;verme
2569;24;evsahibi;1;yok;krediver
5152;25;evsahibi;1;yok;krediver
1037;39;evsahibi;1;yok;krediver
1478;44;evsahibi;2;var;krediver
3573;23;evsahibi;1;yok;krediver
1201;26;evsahibi;1;yok;krediver
3622;57;kiraci;2;var;krediver
960;30;evsahibi;2;yok;krediver
1163;44;evsahibi;1;var;krediver
1209;47;evsahibi;1;var;verme
3077;52;evsahibi;1;var;krediver
3757;62;kiraci;1;var;krediver
1418;35;kiraci;1;yok;krediver
3518;26;kiraci;1;yok;krediver
1934;26;evsahibi;2;yok;krediver
8318;42;kiraci;2;var;verme
1237;27;evsahibi;2;yok;krediver
368;38;evsahibi;1;yok;krediver
2122;39;kiraci;2;yok;krediver
2996;20;evsahibi;1;yok;verme
9034;29;kiraci;1;var;verme
1585;40;evsahibi;2;yok;krediver
1301;32;evsahibi;1;yok;krediver
1323;28;evsahibi;2;var;krediver
3123;27;evsahibi;1;yok;verme
5493;42;kiraci;1;yok;krediver
1126;49;evsahibi;1;yok;krediver
1216;38;evsahibi;2;yok;verme
1207;24;kiraci;1;yok;verme
1309;27;evsahibi;1;yok;verme
2360;36;evsahibi;1;var;krediver
6850;34;evsahibi;1;var;verme
1413;28;evsahibi;1;yok;krediver
8588;45;evsahibi;1;var;krediver
759;26;evsahibi;1;yok;verme
4686;32;kiraci;1;var;krediver
2687;26;kiraci;1;var;krediver
585;20;kiraci;2;yok;krediver
2255;54;evsahibi;1;yok;krediver
609;37;evsahibi;2;yok;krediver
1361;40;evsahibi;1;yok;krediver
7127;23;kiraci;2;var;verme
1203;43;evsahibi;1;var;krediver
700;36;kiraci;2;yok;krediver
5507;44;kiraci;2;yok;krediver
3190;24;evsahibi;1;yok;verme
7119;53;kiraci;2;yok;verme
3488;23;evsahibi;1;yok;krediver
1113;26;evsahibi;1;yok;krediver
7966;30;evsahibi;2;yok;krediver
1532;31;evsahibi;1;yok;krediver
1503;42;evsahibi;2;yok;krediver
2302;31;kiraci;1;yok;verme
662;41;evsahibi;1;var;krediver
2273;32;evsahibi;2;yok;krediver
2631;28;kiraci;2;var;verme
1503;41;kiraci;1;yok;krediver
1311;26;evsahibi;1;var;krediver
3105;25;evsahibi;2;yok;krediver
2319;33;kiraci;1;yok;verme
1374;75;evsahibi;1;var;krediver
3612;37;evsahibi;1;var;krediver
7763;42;kiraci;1;yok;verme
3049;45;evsahibi;1;yok;krediver
1534;23;kiraci;1;yok;verme
2032;60;kiraci;2;var;krediver
6350;31;evsahibi;1;yok;verme
2864;34;evsahibi;1;yok;verme
1255;61;evsahibi;2;yok;krediver
1333;43;kiraci;2;yok;verme
2022;37;evsahibi;1;var;krediver
1552;32;evsahibi;1;yok;krediver
626;24;evsahibi;1;yok;verme
8858;35;kiraci;2;var;krediver
996;23;evsahibi;2;yok;krediver
1750;45;evsahibi;1;yok;krediver
6999;34;evsahibi;2;var;verme
1995;27;evsahibi;1;yok;krediver
1199;67;evsahibi;2;var;krediver
1331;22;evsahibi;1;yok;verme
2278;28;evsahibi;2;yok;verme
5003;29;evsahibi;2;var;verme
3552;27;evsahibi;1;yok;verme
1928;31;evsahibi;2;yok;verme
2964;49;kiraci;1;var;krediver
1546;24;kiraci;1;yok;verme
683;29;evsahibi;1;yok;krediver
12389;37;kiraci;1;var;verme
4712;37;evsahibi;2;var;krediver
1553;23;kiraci;2;var;krediver
1372;36;evsahibi;1;yok;verme
2578;34;evsahibi;1;yok;krediver
3979;41;evsahibi;2;var;krediver
6758;31;evsahibi;1;var;verme
3234;23;kiraci;1;var;verme
5954;38;evsahibi;1;yok;krediver
5433;26;kiraci;1;var;krediver
806;22;evsahibi;1;yok;krediver
1082;27;evsahibi;2;yok;krediver
2788;24;evsahibi;2;yok;krediver
2930;27;evsahibi;1;yok;krediver
1927;33;evsahibi;2;var;krediver
2820;27;evsahibi;2;yok;verme
937;27;evsahibi;2;yok;krediver
1056;30;evsahibi;2;yok;verme
3124;49;evsahibi;2;yok;krediver
1388;26;kiraci;1;yok;krediver
2384;33;kiraci;1;yok;verme
2133;52;kiraci;1;var;krediver
2039;20;kiraci;1;yok;verme
2799;36;kiraci;2;yok;krediver
1289;21;evsahibi;1;yok;krediver
1217;47;evsahibi;1;var;verme
2246;60;evsahibi;2;yok;verme
385;58;evsahibi;4;var;krediver
1965;42;kiraci;2;var;krediver
1572;36;evsahibi;1;yok;krediver
2718;20;kiraci;1;var;verme
1358;40;evsahibi;1;var;verme
931;32;evsahibi;1;yok;verme
1442;23;kiraci;2;yok;verme
4241;36;evsahibi;3;var;verme
2775;31;evsahibi;2;yok;verme
3863;32;kiraci;1;yok;krediver
2329;45;evsahibi;1;yok;krediver
918;30;evsahibi;1;yok;verme
1837;34;kiraci;1;yok;verme
3349;28;evsahibi;1;var;verme
1275;23;evsahibi;1;yok;krediver
2828;22;evsahibi;1;var;krediver
4526;74;evsahibi;1;var;krediver
2671;50;kiraci;1;yok;verme
2051;33;evsahibi;1;yok;krediver
1300;45;kiraci;1;yok;krediver
741;22;evsahibi;1;yok;verme
1240;48;kiraci;1;yok;verme
3357;29;evsahibi;1;yok;krediver
3632;22;kiraci;1;yok;krediver
1808;22;evsahibi;1;yok;verme
12204;48;evsahibi;1;var;krediver
9157;27;kiraci;1;yok;krediver
3676;37;kiraci;3;yok;krediver
3441;21;kiraci;1;yok;verme
640;49;evsahibi;1;yok;krediver
3652;27;evsahibi;2;yok;krediver
1530;32;evsahibi;2;yok;verme
3914;38;evsahibi;1;yok;verme
1858;22;kiraci;1;yok;krediver
2600;65;kiraci;2;yok;verme
1979;35;evsahibi;1;yok;krediver
2116;41;evsahibi;1;var;krediver
1437;29;evsahibi;1;yok;verme
4042;36;evsahibi;2;var;krediver
3832;64;evsahibi;1;yok;krediver
3660;28;evsahibi;1;yok;krediver
1553;44;evsahibi;1;yok;verme
1444;23;evsahibi;1;yok;krediver
1980;19;kiraci;2;yok;verme
1355;25;evsahibi;1;var;verme
1393;47;evsahibi;3;var;krediver
1376;28;evsahibi;1;yok;krediver
15653;21;evsahibi;2;var;krediver
1493;34;evsahibi;1;yok;krediver
4370;26;evsahibi;2;var;verme
750;27;evsahibi;1;yok;verme
1308;38;evsahibi;2;yok;krediver
4623;40;evsahibi;1;var;verme
1851;33;evsahibi;2;var;krediver
1880;32;evsahibi;2;var;krediver
7980;27;kiraci;2;var;verme
4583;32;evsahibi;2;yok;krediver
1386;26;evsahibi;1;yok;verme
947;38;kiraci;1;yok;verme
684;40;kiraci;1;yok;verme
7476;50;kiraci;1;var;krediver
1922;37;evsahibi;1;yok;verme
2303;45;evsahibi;1;yok;verme
8086;42;evsahibi;4;var;verme
2346;35;evsahibi;2;var;krediver
3973;22;kiraci;1;yok;krediver
888;41;evsahibi;1;yok;verme
10222;37;evsahibi;1;var;krediver
4221;28;evsahibi;2;yok;krediver
6361;41;evsahibi;1;var;krediver
1297;23;kiraci;1;yok;krediver
900;23;evsahibi;1;yok;verme
2241;50;evsahibi;2;yok;krediver
1050;35;evsahibi;2;var;krediver
1047;50;evsahibi;1;yok;krediver
6314;27;evsahibi;2;var;krediver
3496;34;evsahibi;1;var;krediver
3609;27;evsahibi;1;yok;krediver
4843;43;kiraci;2;var;verme
3017;47;evsahibi;1;yok;krediver
4139;27;evsahibi;2;var;krediver
5742;31;evsahibi;2;var;krediver
10366;42;evsahibi;1;var;krediver
2080;24;evsahibi;1;yok;krediver
2580;41;evsahibi;1;yok;verme
4530;26;kiraci;1;var;krediver
5150;33;evsahibi;1;var;krediver
5595;24;evsahibi;1;yok;verme
2384;64;kiraci;1;yok;krediver
1453;26;evsahibi;1;yok;krediver
1538;56;evsahibi;1;yok;krediver
2279;37;kiraci;1;var;krediver
1478;33;evsahibi;2;yok;krediver
5103;47;kiraci;3;var;krediver
9857;31;evsahibi;2;var;krediver
6527;34;kiraci;1;var;krediver
1347;27;evsahibi;2;var;krediver
2862;30;kiraci;1;yok;krediver
2753;35;evsahibi;1;var;krediver
3651;31;evsahibi;1;yok;krediver
975;25;evsahibi;2;yok;krediver
2631;25;evsahibi;1;yok;krediver
2896;29;evsahibi;1;yok;krediver
4716;44;evsahibi;2;yok;krediver
2284;28;evsahibi;1;var;krediver
1236;50;kiraci;1;yok;krediver
1103;29;evsahibi;2;yok;krediver
926;38;evsahibi;1;yok;krediver
1800;24;evsahibi;2;yok;krediver
1905;40;kiraci;1;var;krediver
1123;29;kiraci;1;yok;verme
6331;46;kiraci;2;var;verme
1377;47;kiraci;1;var;krediver
2503;41;evsahibi;2;yok;krediver
2528;32;evsahibi;1;var;krediver
5324;35;kiraci;1;yok;krediver
6560;24;evsahibi;1;yok;verme
2969;25;kiraci;2;yok;verme
1206;25;evsahibi;1;yok;krediver
2118;37;evsahibi;1;yok;krediver
629;32;evsahibi;2;var;krediver
1198;35;kiraci;1;yok;verme
2476;46;evsahibi;1;var;krediver
1138;25;evsahibi;2;yok;krediver
14027;27;evsahibi;1;var;verme
7596;63;evsahibi;2;yok;krediver
3077;40;evsahibi;2;var;krediver
1505;32;kiraci;1;var;krediver
3148;31;evsahibi;2;var;krediver
6148;31;evsahibi;2;var;krediver
1337;34;evsahibi;2;var;verme
433;24;kiraci;1;yok;verme
1228;24;evsahibi;1;yok;verme
790;66;evsahibi;1;yok;krediver
2570;21;kiraci;1;yok;verme
250;41;evsahibi;2;yok;krediver
1316;47;evsahibi;2;yok;krediver
1882;25;kiraci;2;yok;verme
6416;59;kiraci;1;yok;verme
1275;36;evsahibi;2;var;krediver
6403;33;evsahibi;1;yok;krediver
1987;21;kiraci;1;yok;verme
760;44;evsahibi;1;yok;krediver
2603;28;kiraci;1;var;krediver
3380;37;evsahibi;1;yok;krediver
3990;29;evsahibi;1;yok;krediver
